n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (-2+0j), blue
1, [1], [(0.80902-0.58779j)], (-1.61804+1.17558j), red
1, [1], [(0.30902-0.95106j)], (-0.61804+1.90212j), green
1, [1], [(-0.30902-0.95106j)], (0.61804+1.90212j), orange
1, [1], [(-0.80902-0.58779j)], (1.61804+1.17558j), black
1, [1], [(-1-0j)], (2+0j), purple
1, [1], [(-0.80902+0.58779j)], (1.61804-1.17558j), cyan
1, [1], [(-0.30902+0.95106j)], (0.61804-1.90212j), magenta
1, [1], [(0.30902+0.95106j)], (-0.61804-1.90212j), yellow
1, [1], [(0.80902+0.58779j)], (-1.61804-1.17558j), brown
2, [0, 1], [0, (1+0j)], (4+0j), blue
2, [0, 1], [0, (0.80902-0.58779j)], (3.23608-2.35116j), red
2, [0, 1], [0, (0.30902-0.95106j)], (1.23608-3.80424j), green
2, [0, 1], [0, (-0.30902-0.95106j)], (-1.23608-3.80424j), orange
2, [0, 1], [0, (-0.80902-0.58779j)], (-3.23608-2.35116j), black
2, [0, 1], [0, (-1-0j)], (-4+0j), purple
2, [0, 1], [0, (-0.80902+0.58779j)], (-3.23608+2.35116j), cyan
2, [0, 1], [0, (-0.30902+0.95106j)], (-1.23608+3.80424j), magenta
2, [0, 1], [0, (0.30902+0.95106j)], (1.23608+3.80424j), yellow
2, [0, 1], [0, (0.80902+0.58779j)], (3.23608+2.35116j), brown
3, [1, 1], [(1+0j), (0.80902-0.58779j)], (1.2360799999999998-2.35116j), blue
3, [1, 1], [(0.80902-0.58779j), (0.30902-0.95106j)], (-0.38195999999999986-2.62866j), red
3, [1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j)], (-1.85412-1.90212j), green
3, [1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j)], (-2.6180399999999997-0.4490400000000001j), orange
3, [1, 1], [(-0.80902-0.58779j), (-1-0j)], (-2.3819600000000003+1.17558j), black
3, [1, 1], [(-1-0j), (-0.80902+0.58779j)], (-1.2360799999999998+2.35116j), purple
3, [1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j)], (0.38195999999999986+2.62866j), cyan
3, [1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j)], (1.85412+1.90212j), magenta
3, [1, 1], [(0.30902+0.95106j), (0.80902+0.58779j)], (2.6180399999999997+0.4490400000000001j), yellow
3, [1, 1], [(0.80902+0.58779j), (1+0j)], (2.3819600000000003-1.17558j), brown
4, [0, 0, 1], [0, 0, (1+0j)], (-8+0j), blue
4, [0, 0, 1], [0, 0, (0.80902-0.58779j)], (-6.47216+4.70232j), red
4, [0, 0, 1], [0, 0, (0.30902-0.95106j)], (-2.47216+7.60848j), green
4, [0, 0, 1], [0, 0, (-0.30902-0.95106j)], (2.47216+7.60848j), orange
4, [0, 0, 1], [0, 0, (-0.80902-0.58779j)], (6.47216+4.70232j), black
4, [0, 0, 1], [0, 0, (-1-0j)], (8+0j), purple
4, [0, 0, 1], [0, 0, (-0.80902+0.58779j)], (6.47216-4.70232j), cyan
4, [0, 0, 1], [0, 0, (-0.30902+0.95106j)], (2.47216-7.60848j), magenta
4, [0, 0, 1], [0, 0, (0.30902+0.95106j)], (-2.47216-7.60848j), yellow
4, [0, 0, 1], [0, 0, (0.80902+0.58779j)], (-6.47216-4.70232j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902-0.58779j)], (-8.472159999999999+4.70232j), blue
5, [1, 0, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j)], (-4.0902+8.78406j), red
5, [1, 0, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j)], (1.85412+9.5106j), green
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (7.090199999999999+6.60444j), orange
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-1-0j)], (9.61804+1.17558j), black
5, [1, 0, 1], [(-1-0j), 0, (-0.80902+0.58779j)], (8.472159999999999-4.70232j), purple
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (4.0902-8.78406j), cyan
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j)], (-1.85412-9.5106j), magenta
5, [1, 0, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j)], (-7.090199999999999-6.60444j), yellow
5, [1, 0, 1], [(0.80902+0.58779j), 0, (1+0j)], (-9.61804-1.17558j), brown
6, [0, 1, 1], [0, (1+0j), (0.80902-0.58779j)], (-2.4721599999999997+4.70232j), blue
6, [0, 1, 1], [0, (0.80902-0.58779j), (0.30902-0.95106j)], (0.7639199999999997+5.25732j), red
6, [0, 1, 1], [0, (0.30902-0.95106j), (-0.30902-0.95106j)], (3.70824+3.80424j), green
6, [0, 1, 1], [0, (-0.30902-0.95106j), (-0.80902-0.58779j)], (5.236079999999999+0.8980800000000002j), orange
6, [0, 1, 1], [0, (-0.80902-0.58779j), (-1-0j)], (4.763920000000001-2.35116j), black
6, [0, 1, 1], [0, (-1-0j), (-0.80902+0.58779j)], (2.4721599999999997-4.70232j), purple
6, [0, 1, 1], [0, (-0.80902+0.58779j), (-0.30902+0.95106j)], (-0.7639199999999997-5.25732j), cyan
6, [0, 1, 1], [0, (-0.30902+0.95106j), (0.30902+0.95106j)], (-3.70824-3.80424j), magenta
6, [0, 1, 1], [0, (0.30902+0.95106j), (0.80902+0.58779j)], (-5.236079999999999-0.8980800000000002j), yellow
6, [0, 1, 1], [0, (0.80902+0.58779j), (1+0j)], (-4.763920000000001+2.35116j), brown
7, [1, 1, 1], [(1+0j), (0.80902-0.58779j), (0.30902-0.95106j)], (-1.2360800000000003+5.25732j), blue
7, [1, 1, 1], [(0.80902-0.58779j), (0.30902-0.95106j), (-0.30902-0.95106j)], (2.0902000000000003+4.97982j), red
7, [1, 1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), (-0.80902-0.58779j)], (4.61804+2.8002000000000002j), green
7, [1, 1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), (-1-0j)], (5.38196-0.4490400000000001j), orange
7, [1, 1, 1], [(-0.80902-0.58779j), (-1-0j), (-0.80902+0.58779j)], (4.090199999999999-3.52674j), black
7, [1, 1, 1], [(-1-0j), (-0.80902+0.58779j), (-0.30902+0.95106j)], (1.2360800000000003-5.25732j), purple
7, [1, 1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j), (0.30902+0.95106j)], (-2.0902000000000003-4.97982j), cyan
7, [1, 1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j), (0.80902+0.58779j)], (-4.61804-2.8002000000000002j), magenta
7, [1, 1, 1], [(0.30902+0.95106j), (0.80902+0.58779j), (1+0j)], (-5.38196+0.4490400000000001j), yellow
7, [1, 1, 1], [(0.80902+0.58779j), (1+0j), (0.80902-0.58779j)], (-4.090199999999999+3.52674j), brown
8, [0, 0, 0, 1], [0, 0, 0, (1+0j)], (16+0j), blue
8, [0, 0, 0, 1], [0, 0, 0, (0.80902-0.58779j)], (12.94432-9.40464j), red
8, [0, 0, 0, 1], [0, 0, 0, (0.30902-0.95106j)], (4.94432-15.21696j), green
8, [0, 0, 0, 1], [0, 0, 0, (-0.30902-0.95106j)], (-4.94432-15.21696j), orange
8, [0, 0, 0, 1], [0, 0, 0, (-0.80902-0.58779j)], (-12.94432-9.40464j), black
8, [0, 0, 0, 1], [0, 0, 0, (-1-0j)], (-16+0j), purple
8, [0, 0, 0, 1], [0, 0, 0, (-0.80902+0.58779j)], (-12.94432+9.40464j), cyan
8, [0, 0, 0, 1], [0, 0, 0, (-0.30902+0.95106j)], (-4.94432+15.21696j), magenta
8, [0, 0, 0, 1], [0, 0, 0, (0.30902+0.95106j)], (4.94432+15.21696j), yellow
8, [0, 0, 0, 1], [0, 0, 0, (0.80902+0.58779j)], (12.94432+9.40464j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902-0.58779j)], (10.94432-9.40464j), blue
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (0.30902-0.95106j)], (3.3262800000000006-14.04138j), red
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (-0.30902-0.95106j)], (-5.56236-13.31484j), green
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (-0.80902-0.58779j)], (-12.326279999999999-7.5025200000000005j), orange
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-1-0j)], (-14.38196+1.17558j), black
9, [1, 0, 0, 1], [(-1-0j), 0, 0, (-0.80902+0.58779j)], (-10.94432+9.40464j), purple
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-0.30902+0.95106j)], (-3.3262800000000006+14.04138j), cyan
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (0.30902+0.95106j)], (5.56236+13.31484j), magenta
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (0.80902+0.58779j)], (12.326279999999999+7.5025200000000005j), yellow
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (1+0j)], (14.38196-1.17558j), brown
10, [0, 1, 0, 1], [0, (1+0j), 0, (0.80902-0.58779j)], (16.944319999999998-9.40464j), blue
10, [0, 1, 0, 1], [0, (0.80902-0.58779j), 0, (0.30902-0.95106j)], (8.1804-17.56812j), red
10, [0, 1, 0, 1], [0, (0.30902-0.95106j), 0, (-0.30902-0.95106j)], (-3.70824-19.0212j), green
10, [0, 1, 0, 1], [0, (-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-14.180399999999999-13.20888j), orange
10, [0, 1, 0, 1], [0, (-0.80902-0.58779j), 0, (-1-0j)], (-19.23608-2.35116j), black
10, [0, 1, 0, 1], [0, (-1-0j), 0, (-0.80902+0.58779j)], (-16.944319999999998+9.40464j), purple
10, [0, 1, 0, 1], [0, (-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (-8.1804+17.56812j), cyan
10, [0, 1, 0, 1], [0, (-0.30902+0.95106j), 0, (0.30902+0.95106j)], (3.70824+19.0212j), magenta
10, [0, 1, 0, 1], [0, (0.30902+0.95106j), 0, (0.80902+0.58779j)], (14.180399999999999+13.20888j), yellow
10, [0, 1, 0, 1], [0, (0.80902+0.58779j), 0, (1+0j)], (19.23608+2.35116j), brown
11, [1, 1, 0, 1], [(1+0j), (0.80902-0.58779j), 0, (0.30902-0.95106j)], (6.180400000000001-17.56812j), blue
11, [1, 1, 0, 1], [(0.80902-0.58779j), (0.30902-0.95106j), 0, (-0.30902-0.95106j)], (-5.326280000000001-17.84562j), red
11, [1, 1, 0, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-14.79844-11.30676j), green
11, [1, 1, 0, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, (-1-0j)], (-18.61804-0.4490400000000001j), orange
11, [1, 1, 0, 1], [(-0.80902-0.58779j), (-1-0j), 0, (-0.80902+0.58779j)], (-15.32628+10.58022j), black
11, [1, 1, 0, 1], [(-1-0j), (-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (-6.180400000000001+17.56812j), purple
11, [1, 1, 0, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0, (0.30902+0.95106j)], (5.326280000000001+17.84562j), cyan
11, [1, 1, 0, 1], [(-0.30902+0.95106j), (0.30902+0.95106j), 0, (0.80902+0.58779j)], (14.79844+11.30676j), magenta
11, [1, 1, 0, 1], [(0.30902+0.95106j), (0.80902+0.58779j), 0, (1+0j)], (18.61804+0.4490400000000001j), yellow
11, [1, 1, 0, 1], [(0.80902+0.58779j), (1+0j), 0, (0.80902-0.58779j)], (15.32628-10.58022j), brown
12, [0, 0, 1, 1], [0, 0, (1+0j), (0.80902-0.58779j)], (4.944319999999999-9.40464j), blue
12, [0, 0, 1, 1], [0, 0, (0.80902-0.58779j), (0.30902-0.95106j)], (-1.5278399999999994-10.51464j), red
12, [0, 0, 1, 1], [0, 0, (0.30902-0.95106j), (-0.30902-0.95106j)], (-7.41648-7.60848j), green
12, [0, 0, 1, 1], [0, 0, (-0.30902-0.95106j), (-0.80902-0.58779j)], (-10.472159999999999-1.7961600000000004j), orange
12, [0, 0, 1, 1], [0, 0, (-0.80902-0.58779j), (-1-0j)], (-9.527840000000001+4.70232j), black
12, [0, 0, 1, 1], [0, 0, (-1-0j), (-0.80902+0.58779j)], (-4.944319999999999+9.40464j), purple
12, [0, 0, 1, 1], [0, 0, (-0.80902+0.58779j), (-0.30902+0.95106j)], (1.5278399999999994+10.51464j), cyan
12, [0, 0, 1, 1], [0, 0, (-0.30902+0.95106j), (0.30902+0.95106j)], (7.41648+7.60848j), magenta
12, [0, 0, 1, 1], [0, 0, (0.30902+0.95106j), (0.80902+0.58779j)], (10.472159999999999+1.7961600000000004j), yellow
12, [0, 0, 1, 1], [0, 0, (0.80902+0.58779j), (1+0j)], (9.527840000000001-4.70232j), brown
13, [1, 0, 1, 1], [(1+0j), 0, (0.80902-0.58779j), (0.30902-0.95106j)], (-3.5278399999999985-10.51464j), blue
13, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j), (-0.30902-0.95106j)], (-9.03452-6.4329j), red
13, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), (-0.80902-0.58779j)], (-11.0902+0.10595999999999961j), green
13, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), (-1-0j)], (-8.9098+6.60444j), orange
13, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-1-0j), (-0.80902+0.58779j)], (-3.326279999999999+10.58022j), black
13, [1, 0, 1, 1], [(-1-0j), 0, (-0.80902+0.58779j), (-0.30902+0.95106j)], (3.5278399999999985+10.51464j), purple
