n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), red
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), green
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), orange
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), black
1, [1], [(-1+0j)], (-1+0j), purple
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), cyan
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), magenta
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), yellow
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), brown
2, [1, 0], [(1+0j), 0], (0.3+0.3j), blue
2, [1, 0], [(0.80902+0.58779j), 0], (0.06636899999999998+0.41904299999999994j), red
2, [1, 0], [(0.30902+0.95106j), 0], (-0.192612+0.378024j), green
2, [1, 0], [(-0.30902+0.95106j), 0], (-0.378024+0.192612j), orange
2, [1, 0], [(-0.80902+0.58779j), 0], (-0.41904299999999994-0.06636899999999998j), black
2, [1, 0], [(-1+0j), 0], (-0.3-0.3j), purple
2, [1, 0], [(-0.80902-0.58779j), 0], (-0.06636899999999998-0.41904299999999994j), cyan
2, [1, 0], [(-0.30902-0.95106j), 0], (0.192612-0.378024j), magenta
2, [1, 0], [(0.30902-0.95106j), 0], (0.378024-0.192612j), yellow
2, [1, 0], [(0.80902-0.58779j), 0], (0.41904299999999994+0.06636899999999998j), brown
3, [1, 1], [(1+0j), (0.80902+0.58779j)], (1.10902+0.8877900000000001j), blue
3, [1, 1], [(0.80902+0.58779j), (0.30902+0.95106j)], (0.375389+1.3701029999999998j), red
3, [1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j)], (-0.5016320000000001+1.329084j), green
3, [1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j)], (-1.187044+0.780402j), orange
3, [1, 1], [(-0.80902+0.58779j), (-1+0j)], (-1.4190429999999998-0.06636899999999998j), black
3, [1, 1], [(-1+0j), (-0.80902-0.58779j)], (-1.10902-0.8877900000000001j), purple
3, [1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.375389-1.3701029999999998j), cyan
3, [1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j)], (0.5016320000000001-1.329084j), magenta
3, [1, 1], [(0.30902-0.95106j), (0.80902-0.58779j)], (1.187044-0.780402j), yellow
3, [1, 1], [(0.80902-0.58779j), (1+0j)], (1.4190429999999998+0.06636899999999998j), brown
4, [1, 0, 0], [(1+0j), 0, 0], 0.18j, blue
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (-0.1058022+0.1456236j), red
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (-0.1711908+0.0556236j), green
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (-0.1711908-0.0556236j), orange
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (-0.1058022-0.1456236j), black
4, [1, 0, 0], [(-1+0j), 0, 0], -0.18j, purple
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (0.1058022-0.1456236j), cyan
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (0.1711908-0.0556236j), magenta
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (0.1711908+0.0556236j), yellow
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (0.1058022+0.1456236j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902+0.58779j)], (0.80902+0.76779j), blue
5, [1, 0, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j)], (0.2032178+1.0966836j), red
5, [1, 0, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-0.48021080000000005+1.0066836000000001j), green
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-0.9802107999999999+0.5321664j), orange
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-1+0j)], (-1.1058022-0.1456236j), black
5, [1, 0, 1], [(-1+0j), 0, (-0.80902-0.58779j)], (-0.80902-0.76779j), purple
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-0.2032178-1.0966836j), cyan
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j)], (0.48021080000000005-1.0066836000000001j), magenta
5, [1, 0, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j)], (0.9802107999999999-0.5321664j), yellow
5, [1, 0, 1], [(0.80902-0.58779j), 0, (1+0j)], (1.1058022+0.1456236j), brown
6, [1, 1, 0], [(1+0j), (0.80902+0.58779j), 0], (0.06636899999999998+0.599043j), blue
6, [1, 1, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0], (-0.2984142+0.5236476j), red
6, [1, 1, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0], (-0.5492148+0.2482356j), green
6, [1, 1, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0], (-0.5902337999999999-0.12199259999999998j), orange
6, [1, 1, 0], [(-0.80902+0.58779j), (-1+0j), 0], (-0.4058022-0.4456236j), black
6, [1, 1, 0], [(-1+0j), (-0.80902-0.58779j), 0], (-0.06636899999999998-0.599043j), purple
6, [1, 1, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0], (0.2984142-0.5236476j), cyan
6, [1, 1, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0], (0.5492148-0.2482356j), magenta
6, [1, 1, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0], (0.5902337999999999+0.12199259999999998j), yellow
6, [1, 1, 0], [(0.80902-0.58779j), (1+0j), 0], (0.4058022+0.4456236j), brown
7, [1, 1, 1], [(1+0j), (0.80902+0.58779j), (0.30902+0.95106j)], (0.375389+1.550103j), blue
7, [1, 1, 1], [(0.80902+0.58779j), (0.30902+0.95106j), (-0.30902+0.95106j)], (-0.6074342+1.4747076j), red
7, [1, 1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), (-0.80902+0.58779j)], (-1.3582348+0.8360256j), green
7, [1, 1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), (-1+0j)], (-1.5902338-0.12199259999999998j), orange
7, [1, 1, 1], [(-0.80902+0.58779j), (-1+0j), (-0.80902-0.58779j)], (-1.2148222-1.0334136j), black
7, [1, 1, 1], [(-1+0j), (-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.375389-1.550103j), purple
7, [1, 1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j), (0.30902-0.95106j)], (0.6074342-1.4747076j), cyan
7, [1, 1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j), (0.80902-0.58779j)], (1.3582348-0.8360256j), magenta
7, [1, 1, 1], [(0.30902-0.95106j), (0.80902-0.58779j), (1+0j)], (1.5902338+0.12199259999999998j), yellow
7, [1, 1, 1], [(0.80902-0.58779j), (1+0j), (0.80902+0.58779j)], (1.2148222+1.0334136j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], (-0.054+0.054j), blue
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (-0.07542774+0.011946419999999992j), red
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (-0.06804431999999999-0.03467016j), green
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (-0.03467016-0.06804431999999999j), orange
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (0.011946419999999992-0.07542774j), black
8, [1, 0, 0, 0], [(-1+0j), 0, 0, 0], (0.054-0.054j), purple
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (0.07542774-0.011946419999999992j), cyan
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (0.06804431999999999+0.03467016j), magenta
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (0.03467016+0.06804431999999999j), yellow
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (-0.011946419999999992+0.07542774j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902+0.58779j)], (0.7550199999999999+0.6417900000000001j), blue
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (0.30902+0.95106j)], (0.23359226000000002+0.96300642j), red
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (-0.30902+0.95106j)], (-0.37706432+0.91638984j), green
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (-0.80902+0.58779j)], (-0.84369016+0.51974568j), orange
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-1+0j)], (-0.98805358-0.07542774j), black
9, [1, 0, 0, 1], [(-1+0j), 0, 0, (-0.80902-0.58779j)], (-0.7550199999999999-0.6417900000000001j), purple
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-0.30902-0.95106j)], (-0.23359226000000002-0.96300642j), cyan
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (0.30902-0.95106j)], (0.37706432-0.91638984j), magenta
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (0.80902-0.58779j)], (0.84369016-0.51974568j), yellow
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (1+0j)], (0.98805358+0.07542774j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902+0.58779j), 0], (0.012368999999999984+0.47304299999999994j), blue
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (0.30902+0.95106j), 0], (-0.26803973999999997+0.38997042000000004j), red
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), 0], (-0.44606832+0.15794184j), green
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), 0], (-0.45371315999999995-0.13441331999999998j), orange
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-1+0j), 0], (-0.28805358-0.37542774j), black
10, [1, 0, 1, 0], [(-1+0j), 0, (-0.80902-0.58779j), 0], (-0.012368999999999984-0.47304299999999994j), purple
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), 0], (0.26803973999999997-0.38997042000000004j), cyan
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), 0], (0.44606832-0.15794184j), magenta
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (0.80902-0.58779j), 0], (0.45371315999999995+0.13441331999999998j), yellow
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (1+0j), 0], (0.28805358+0.37542774j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902+0.58779j), (0.30902+0.95106j)], (0.321389+1.424103j), blue
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j), (-0.30902+0.95106j)], (-0.5770597399999999+1.34103042j), red
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), (-0.80902+0.58779j)], (-1.25508832+0.74573184j), green
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), (-1+0j)], (-1.45371316-0.13441331999999998j), orange
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-1+0j), (-0.80902-0.58779j)], (-1.09707358-0.96321774j), black
11, [1, 0, 1, 1], [(-1+0j), 0, (-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.321389-1.424103j), purple
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), (0.30902-0.95106j)], (0.5770597399999999-1.34103042j), cyan
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), (0.80902-0.58779j)], (1.25508832-0.74573184j), magenta
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j), (1+0j)], (1.45371316+0.13441331999999998j), yellow
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (1+0j), (0.80902+0.58779j)], (1.09707358+0.96321774j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902+0.58779j), 0, 0], (-0.1598022+0.19962359999999998j), blue
12, [1, 1, 0, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0, 0], (-0.24661854+0.06757002j), red
12, [1, 1, 0, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, 0], (-0.23923512-0.09029376j), green
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, 0], (-0.14047236-0.21366791999999998j), orange
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-1+0j), 0, 0], (0.011946419999999992-0.25542774j), black
12, [1, 1, 0, 0], [(-1+0j), (-0.80902-0.58779j), 0, 0], (0.1598022-0.19962359999999998j), purple
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0, 0], (0.24661854-0.06757002j), cyan
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0, 0], (0.23923512+0.09029376j), magenta
12, [1, 1, 0, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0, 0], (0.14047236+0.21366791999999998j), yellow
12, [1, 1, 0, 0], [(0.80902-0.58779j), (1+0j), 0, 0], (-0.011946419999999992+0.25542774j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902+0.58779j), 0, (0.30902+0.95106j)], (0.1492178+1.1506836j), blue
13, [1, 1, 0, 1], [(0.80902+0.58779j), (0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-0.55563854+1.01863002j), red
13, [1, 1, 0, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-1.0482551199999999+0.49749624000000003j), green
13, [1, 1, 0, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, (-1+0j)], (-1.14047236-0.21366791999999998j), orange
13, [1, 1, 0, 1], [(-0.80902+0.58779j), (-1+0j), 0, (-0.80902-0.58779j)], (-0.79707358-0.84321774j), black
13, [1, 1, 0, 1], [(-1+0j), (-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-0.1492178-1.1506836j), purple
