n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), red
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), green
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), orange
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), black
1, [1], [(-1-0j)], (-1+0j), purple
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), cyan
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), magenta
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), yellow
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), brown
2, [1, 0], [(1+0j), 0], (0.6-0.9j), blue
2, [1, 0], [(0.80902-0.58779j), 0], (-0.043599000000000054-1.080792j), red
2, [1, 0], [(0.30902-0.95106j), 0], (-0.670542-0.848754j), green
2, [1, 0], [(-0.30902-0.95106j), 0], (-1.041366-0.292518j), orange
2, [1, 0], [(-0.80902-0.58779j), 0], (-1.0144229999999999+0.37544399999999994j), black
2, [1, 0], [(-1-0j), 0], (-0.6+0.9j), purple
2, [1, 0], [(-0.80902+0.58779j), 0], (0.043599000000000054+1.080792j), cyan
2, [1, 0], [(-0.30902+0.95106j), 0], (0.670542+0.848754j), magenta
2, [1, 0], [(0.30902+0.95106j), 0], (1.041366+0.292518j), yellow
2, [1, 0], [(0.80902+0.58779j), 0], (1.0144229999999999-0.37544399999999994j), brown
3, [1, 1], [(1+0j), (0.80902-0.58779j)], (1.40902-1.48779j), blue
3, [1, 1], [(0.80902-0.58779j), (0.30902-0.95106j)], (0.26542099999999996-2.0318519999999998j), red
3, [1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j)], (-0.979562-1.799814j), green
3, [1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j)], (-1.8503859999999999-0.8803080000000001j), orange
3, [1, 1], [(-0.80902-0.58779j), (-1-0j)], (-2.014423+0.37544399999999994j), black
3, [1, 1], [(-1-0j), (-0.80902+0.58779j)], (-1.40902+1.48779j), purple
3, [1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j)], (-0.26542099999999996+2.0318519999999998j), cyan
3, [1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j)], (0.979562+1.799814j), magenta
3, [1, 1], [(0.30902+0.95106j), (0.80902+0.58779j)], (1.8503859999999999+0.8803080000000001j), yellow
3, [1, 1], [(0.80902+0.58779j), (1+0j)], (2.014423-0.37544399999999994j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (-0.45000000000000007-1.08j), blue
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (-0.9988722000000001-0.6092361j), red
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (-1.1662038000000001+0.09423540000000002j), green
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (-0.8880858+0.7617186j), orange
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (-0.27075420000000006+1.1382471j), black
4, [1, 0, 0], [(-1-0j), 0, 0], (0.45000000000000007+1.08j), purple
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (0.9988722000000001+0.6092361j), cyan
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (1.1662038000000001-0.09423540000000002j), magenta
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (0.8880858-0.7617186j), yellow
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (0.27075420000000006-1.1382471j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902-0.58779j)], (0.3590199999999999-1.66779j), blue
5, [1, 0, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j)], (-0.6898522-1.5602961j), red
5, [1, 0, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j)], (-1.4752238000000002-0.8568245999999999j), green
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-1.6971058+0.1739286j), orange
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-1-0j)], (-1.2707542+1.1382471j), black
5, [1, 0, 1], [(-1-0j), 0, (-0.80902+0.58779j)], (-0.3590199999999999+1.66779j), purple
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (0.6898522+1.5602961j), cyan
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j)], (1.4752238000000002+0.8568245999999999j), magenta
5, [1, 0, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j)], (1.6971058-0.1739286j), yellow
5, [1, 0, 1], [(0.80902+0.58779j), 0, (1+0j)], (1.2707542-1.1382471j), brown
6, [1, 1, 0], [(1+0j), (0.80902-0.58779j), 0], (-0.4935990000000001-2.160792j), blue
6, [1, 1, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0], (-1.6694142-1.4579901j), red
6, [1, 1, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0], (-2.2075698-0.19828259999999998j), green
6, [1, 1, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0], (-1.9025087999999999+1.1371626j), orange
6, [1, 1, 0], [(-0.80902-0.58779j), (-1-0j), 0], (-0.8707542+2.0382471j), black
6, [1, 1, 0], [(-1-0j), (-0.80902+0.58779j), 0], (0.4935990000000001+2.160792j), purple
6, [1, 1, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0], (1.6694142+1.4579901j), cyan
6, [1, 1, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0], (2.2075698+0.19828259999999998j), magenta
6, [1, 1, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0], (1.9025087999999999-1.1371626j), yellow
6, [1, 1, 0], [(0.80902+0.58779j), (1+0j), 0], (0.8707542-2.0382471j), brown
7, [1, 1, 1], [(1+0j), (0.80902-0.58779j), (0.30902-0.95106j)], (-0.1845790000000001-3.111852j), blue
7, [1, 1, 1], [(0.80902-0.58779j), (0.30902-0.95106j), (-0.30902-0.95106j)], (-1.9784342000000001-2.4090501j), red
7, [1, 1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), (-0.80902-0.58779j)], (-3.0165897999999998-0.7860726j), green
7, [1, 1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), (-1-0j)], (-2.9025087999999997+1.1371626j), orange
7, [1, 1, 1], [(-0.80902-0.58779j), (-1-0j), (-0.80902+0.58779j)], (-1.6797742+2.6260371j), black
7, [1, 1, 1], [(-1-0j), (-0.80902+0.58779j), (-0.30902+0.95106j)], (0.1845790000000001+3.111852j), purple
7, [1, 1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j), (0.30902+0.95106j)], (1.9784342000000001+2.4090501j), cyan
7, [1, 1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j), (0.80902+0.58779j)], (3.0165897999999998+0.7860726j), magenta
7, [1, 1, 1], [(0.30902+0.95106j), (0.80902+0.58779j), (1+0j)], (2.9025087999999997-1.1371626j), yellow
7, [1, 1, 1], [(0.80902+0.58779j), (1+0j), (0.80902-0.58779j)], (1.6797742-2.6260371j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], (-1.242-0.24299999999999994j), blue
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (-1.14763581+0.53344332j), red
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (-0.61491042+1.10612466j), green
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (0.15269526000000008+1.25630838j), orange
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (0.86196987+0.92662704j), black
8, [1, 0, 0, 0], [(-1-0j), 0, 0, 0], (1.242+0.24299999999999994j), purple
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (1.14763581-0.53344332j), cyan
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (0.61491042-1.10612466j), magenta
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (-0.15269526000000008-1.25630838j), yellow
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (-0.86196987-0.92662704j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902-0.58779j)], (-0.43298000000000003-0.8307899999999999j), blue
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (0.30902-0.95106j)], (-0.8386158099999999-0.41761667999999996j), red
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (-0.30902-0.95106j)], (-0.92393042+0.15506466000000008j), green
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (-0.80902-0.58779j)], (-0.6563247399999999+0.6685183799999999j), orange
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-1-0j)], (-0.13803012999999997+0.92662704j), black
9, [1, 0, 0, 1], [(-1-0j), 0, 0, (-0.80902+0.58779j)], (0.43298000000000003+0.8307899999999999j), purple
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-0.30902+0.95106j)], (0.8386158099999999+0.41761667999999996j), cyan
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (0.30902+0.95106j)], (0.92393042-0.15506466000000008j), magenta
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (0.80902+0.58779j)], (0.6563247399999999-0.6685183799999999j), yellow
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (1+0j)], (0.13803012999999997-0.92662704j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902-0.58779j), 0], (-1.285599-1.3237919999999999j), blue
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (0.30902-0.95106j), 0], (-1.81817781-0.31531067999999995j), red
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), 0], (-1.65627642+0.81360666j), green
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), 0], (-0.8617277399999997+1.6317523799999998j), orange
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-1-0j), 0], (0.26196987000000005+1.82662704j), black
10, [1, 0, 1, 0], [(-1-0j), 0, (-0.80902+0.58779j), 0], (1.285599+1.3237919999999999j), purple
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), 0], (1.81817781+0.31531067999999995j), cyan
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), 0], (1.65627642-0.81360666j), magenta
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (0.80902+0.58779j), 0], (0.8617277399999997-1.6317523799999998j), yellow
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (1+0j), 0], (-0.26196987000000005-1.82662704j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902-0.58779j), (0.30902-0.95106j)], (-0.9765789999999999-2.274852j), blue
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j), (-0.30902-0.95106j)], (-2.1271978099999997-1.26637068j), red
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), (-0.80902-0.58779j)], (-2.46529642+0.22581666j), green
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), (-1-0j)], (-1.8617277399999996+1.6317523799999998j), orange
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-1-0j), (-0.80902+0.58779j)], (-0.5470501299999999+2.41441704j), black
11, [1, 0, 1, 1], [(-1-0j), 0, (-0.80902+0.58779j), (-0.30902+0.95106j)], (0.9765789999999999+2.274852j), purple
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), (0.30902+0.95106j)], (2.1271978099999997+1.26637068j), cyan
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), (0.80902+0.58779j)], (2.46529642-0.22581666j), magenta
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j), (1+0j)], (1.8617277399999996-1.6317523799999998j), yellow
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (1+0j), (0.80902-0.58779j)], (0.5470501299999999-2.41441704j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902-0.58779j), 0, 0], (-2.2408722-0.8522360999999998j), blue
12, [1, 1, 0, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0, 0], (-2.31383961+0.62767872j), red
12, [1, 1, 0, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, 0], (-1.50299622+1.8678432600000001j), green
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, 0], (-0.11805893999999997+2.39455548j), orange
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-1-0j), 0, 0], (1.31196987+2.00662704j), black
12, [1, 1, 0, 0], [(-1-0j), (-0.80902+0.58779j), 0, 0], (2.2408722+0.8522360999999998j), purple
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0, 0], (2.31383961-0.62767872j), cyan
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0, 0], (1.50299622-1.8678432600000001j), magenta
12, [1, 1, 0, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0, 0], (0.11805893999999997-2.39455548j), yellow
12, [1, 1, 0, 0], [(0.80902+0.58779j), (1+0j), 0, 0], (-1.31196987-2.00662704j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902-0.58779j), 0, (0.30902-0.95106j)], (-1.9318522-1.8032960999999998j), blue
13, [1, 1, 0, 1], [(0.80902-0.58779j), (0.30902-0.95106j), 0, (-0.30902-0.95106j)], (-2.62285961-0.32338128j), red
13, [1, 1, 0, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-2.31201622+1.28005326j), green
13, [1, 1, 0, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, (-1-0j)], (-1.11805894+2.39455548j), orange
13, [1, 1, 0, 1], [(-0.80902-0.58779j), (-1-0j), 0, (-0.80902+0.58779j)], (0.50294987+2.59441704j), black
13, [1, 1, 0, 1], [(-1-0j), (-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (1.9318522+1.8032960999999998j), purple
