n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), red
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), green
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), orange
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), black
1, [1], [(-1+0j)], (-1+0j), purple
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), cyan
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), magenta
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), yellow
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), brown
2, [1, 0], [(1+0j), 0], -0.5j, blue
2, [1, 0], [(0.80902+0.58779j), 0], (0.293895-0.40451j), red
2, [1, 0], [(0.30902+0.95106j), 0], (0.47553-0.15451j), green
2, [1, 0], [(-0.30902+0.95106j), 0], (0.47553+0.15451j), orange
2, [1, 0], [(-0.80902+0.58779j), 0], (0.293895+0.40451j), black
2, [1, 0], [(-1+0j), 0], 0.5j, purple
2, [1, 0], [(-0.80902-0.58779j), 0], (-0.293895+0.40451j), cyan
2, [1, 0], [(-0.30902-0.95106j), 0], (-0.47553+0.15451j), magenta
2, [1, 0], [(0.30902-0.95106j), 0], (-0.47553-0.15451j), yellow
2, [1, 0], [(0.80902-0.58779j), 0], (-0.293895-0.40451j), brown
3, [1, 1], [(1+0j), (0.80902+0.58779j)], (0.80902+0.08779000000000003j), blue
3, [1, 1], [(0.80902+0.58779j), (0.30902+0.95106j)], (0.6029150000000001+0.5465500000000001j), red
3, [1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j)], (0.16651+0.79655j), green
3, [1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j)], (-0.33348999999999995+0.7423000000000001j), orange
3, [1, 1], [(-0.80902+0.58779j), (-1+0j)], (-0.706105+0.40451j), black
3, [1, 1], [(-1+0j), (-0.80902-0.58779j)], (-0.80902-0.08779000000000003j), purple
3, [1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.6029150000000001-0.5465500000000001j), cyan
3, [1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j)], (-0.16651-0.79655j), magenta
3, [1, 1], [(0.30902-0.95106j), (0.80902-0.58779j)], (0.33348999999999995-0.7423000000000001j), yellow
3, [1, 1], [(0.80902-0.58779j), (1+0j)], (0.706105-0.40451j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (-0.25+0j), blue
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (-0.202255-0.1469475j), red
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (-0.077255-0.237765j), green
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (0.077255-0.237765j), orange
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (0.202255-0.1469475j), black
4, [1, 0, 0], [(-1+0j), 0, 0], (0.25+0j), purple
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (0.202255+0.1469475j), cyan
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (0.077255+0.237765j), magenta
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (-0.077255+0.237765j), yellow
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (-0.202255+0.1469475j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902+0.58779j)], (0.55902+0.58779j), blue
5, [1, 0, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j)], (0.10676500000000003+0.8041125j), red
5, [1, 0, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-0.38627500000000003+0.713295j), green
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-0.731765+0.35002500000000003j), orange
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-1+0j)], (-0.797745-0.1469475j), black
5, [1, 0, 1], [(-1+0j), 0, (-0.80902-0.58779j)], (-0.55902-0.58779j), purple
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-0.10676500000000003-0.8041125j), cyan
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j)], (0.38627500000000003-0.713295j), magenta
5, [1, 0, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j)], (0.731765-0.35002500000000003j), yellow
5, [1, 0, 1], [(0.80902-0.58779j), 0, (1+0j)], (0.797745+0.1469475j), brown
6, [1, 1, 0], [(1+0j), (0.80902+0.58779j), 0], (0.04389500000000002-0.40451j), blue
6, [1, 1, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0], (0.27327500000000005-0.30145750000000004j), red
6, [1, 1, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0], (0.398275-0.083255j), green
6, [1, 1, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0], (0.37115000000000004+0.16674499999999998j), orange
6, [1, 1, 0], [(-0.80902+0.58779j), (-1+0j), 0], (0.202255+0.3530525j), black
6, [1, 1, 0], [(-1+0j), (-0.80902-0.58779j), 0], (-0.04389500000000002+0.40451j), purple
6, [1, 1, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0], (-0.27327500000000005+0.30145750000000004j), cyan
6, [1, 1, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0], (-0.398275+0.083255j), magenta
6, [1, 1, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0], (-0.37115000000000004-0.16674499999999998j), yellow
6, [1, 1, 0], [(0.80902-0.58779j), (1+0j), 0], (-0.202255-0.3530525j), brown
7, [1, 1, 1], [(1+0j), (0.80902+0.58779j), (0.30902+0.95106j)], (0.35291500000000003+0.5465500000000001j), blue
7, [1, 1, 1], [(0.80902+0.58779j), (0.30902+0.95106j), (-0.30902+0.95106j)], (-0.03574499999999997+0.6496025j), red
7, [1, 1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), (-0.80902+0.58779j)], (-0.41074499999999997+0.5045350000000001j), green
7, [1, 1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), (-1+0j)], (-0.6288499999999999+0.16674499999999998j), orange
7, [1, 1, 1], [(-0.80902+0.58779j), (-1+0j), (-0.80902-0.58779j)], (-0.606765-0.23473750000000004j), black
7, [1, 1, 1], [(-1+0j), (-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.35291500000000003-0.5465500000000001j), purple
7, [1, 1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j), (0.30902-0.95106j)], (0.03574499999999997-0.6496025j), cyan
7, [1, 1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j), (0.80902-0.58779j)], (0.41074499999999997-0.5045350000000001j), magenta
7, [1, 1, 1], [(0.30902-0.95106j), (0.80902-0.58779j), (1+0j)], (0.6288499999999999-0.16674499999999998j), yellow
7, [1, 1, 1], [(0.80902-0.58779j), (1+0j), (0.80902+0.58779j)], (0.606765+0.23473750000000004j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], 0.125j, blue
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (-0.07347375+0.1011275j), red
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (-0.1188825+0.0386275j), green
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (-0.1188825-0.0386275j), orange
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (-0.07347375-0.1011275j), black
8, [1, 0, 0, 0], [(-1+0j), 0, 0, 0], -0.125j, purple
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (0.07347375-0.1011275j), cyan
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (0.1188825-0.0386275j), magenta
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (0.1188825+0.0386275j), yellow
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (0.07347375+0.1011275j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902+0.58779j)], (0.80902+0.71279j), blue
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (0.30902+0.95106j)], (0.23554625+1.0521875j), red
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (-0.30902+0.95106j)], (-0.4279025+0.9896875j), green
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (-0.80902+0.58779j)], (-0.9279025+0.5491625j), orange
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-1+0j)], (-1.07347375-0.1011275j), black
9, [1, 0, 0, 1], [(-1+0j), 0, 0, (-0.80902-0.58779j)], (-0.80902-0.71279j), purple
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-0.30902-0.95106j)], (-0.23554625-1.0521875j), cyan
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (0.30902-0.95106j)], (0.4279025-0.9896875j), magenta
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (0.80902-0.58779j)], (0.9279025-0.5491625j), yellow
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (1+0j)], (1.07347375+0.1011275j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902+0.58779j), 0], (0.293895-0.27951j), blue
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (0.30902+0.95106j), 0], (0.40205625-0.05338250000000001j), red
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), 0], (0.3566475+0.19313750000000002j), green
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), 0], (0.17501250000000002+0.3658825j), orange
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-1+0j), 0], (-0.07347375+0.3988725j), black
10, [1, 0, 1, 0], [(-1+0j), 0, (-0.80902-0.58779j), 0], (-0.293895+0.27951j), purple
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), 0], (-0.40205625+0.05338250000000001j), cyan
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), 0], (-0.3566475-0.19313750000000002j), magenta
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (0.80902-0.58779j), 0], (-0.17501250000000002-0.3658825j), yellow
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (1+0j), 0], (0.07347375-0.3988725j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902+0.58779j), (0.30902+0.95106j)], (0.6029150000000001+0.6715500000000001j), blue
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j), (-0.30902+0.95106j)], (0.09303624999999999+0.8976775j), red
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), (-0.80902+0.58779j)], (-0.45237249999999996+0.7809275j), green
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), (-1+0j)], (-0.8249875+0.3658825j), orange
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-1+0j), (-0.80902-0.58779j)], (-0.88249375-0.18891750000000002j), black
11, [1, 0, 1, 1], [(-1+0j), 0, (-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.6029150000000001-0.6715500000000001j), purple
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), (0.30902-0.95106j)], (-0.09303624999999999-0.8976775j), cyan
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), (0.80902-0.58779j)], (0.45237249999999996-0.7809275j), magenta
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j), (1+0j)], (0.8249875-0.3658825j), yellow
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (1+0j), (0.80902+0.58779j)], (0.88249375+0.18891750000000002j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902+0.58779j), 0, 0], (-0.202255-0.02194750000000001j), blue
12, [1, 1, 0, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0, 0], (-0.15072875000000002-0.13663750000000002j), red
12, [1, 1, 0, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, 0], (-0.0416275-0.1991375j), green
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, 0], (0.08337249999999999-0.18557500000000002j), orange
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-1+0j), 0, 0], (0.17652625-0.1011275j), black
12, [1, 1, 0, 0], [(-1+0j), (-0.80902-0.58779j), 0, 0], (0.202255+0.02194750000000001j), purple
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0, 0], (0.15072875000000002+0.13663750000000002j), cyan
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0, 0], (0.0416275+0.1991375j), magenta
12, [1, 1, 0, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0, 0], (-0.08337249999999999+0.18557500000000002j), yellow
12, [1, 1, 0, 0], [(0.80902-0.58779j), (1+0j), 0, 0], (-0.17652625+0.1011275j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902+0.58779j), 0, (0.30902+0.95106j)], (0.10676500000000003+0.9291125j), blue
13, [1, 1, 0, 1], [(0.80902+0.58779j), (0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-0.45974875000000004+0.8144225j), red
13, [1, 1, 0, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-0.8506475+0.38865250000000007j), green
13, [1, 1, 0, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, (-1+0j)], (-0.9166275-0.18557500000000002j), orange
13, [1, 1, 0, 1], [(-0.80902+0.58779j), (-1+0j), 0, (-0.80902-0.58779j)], (-0.63249375-0.6889175000000001j), black
13, [1, 1, 0, 1], [(-1+0j), (-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (-0.10676500000000003-0.9291125j), purple
